"Plot Title: Log_201"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20350557, SEN S/N: 20350557)","Coupler Attached (LGR S/N: 20350557)","Host Connected (LGR S/N: 20350557)","Stopped (LGR S/N: 20350557)","End Of File (LGR S/N: 20350557)"
1,12/08/22 13:00:00,27.961,,,,
2,12/08/22 13:10:00,28.060,,,,
3,12/08/22 13:20:00,28.159,,,,
4,12/08/22 13:30:00,28.357,,,,
5,12/08/22 13:40:00,28.754,,,,
6,12/08/22 13:50:00,28.655,,,,
7,12/08/22 14:00:00,28.853,,,,
8,12/08/22 14:10:00,29.252,,,,
9,12/08/22 14:20:00,29.452,,,,
10,12/08/22 14:30:00,29.252,,,,
11,12/08/22 14:40:00,29.452,,,,
12,12/08/22 14:50:00,29.853,,,,
13,12/08/22 15:00:00,30.054,,,,
14,12/08/22 15:10:00,29.752,,,,
15,12/08/22 15:20:00,30.154,,,,
16,12/08/22 15:30:00,29.652,,,,
17,12/08/22 15:40:00,29.853,,,,
18,12/08/22 15:50:00,29.752,,,,
19,12/08/22 16:00:00,29.752,,,,
20,12/08/22 16:10:00,29.853,,,,
21,12/08/22 16:20:00,29.652,,,,
22,12/08/22 16:30:00,29.452,,,,
23,12/08/22 16:40:00,29.152,,,,
24,12/08/22 16:50:00,29.252,,,,
25,12/08/22 17:00:00,29.053,,,,
26,12/08/22 17:10:00,29.053,,,,
27,12/08/22 17:20:00,28.953,,,,
28,12/08/22 17:30:00,29.053,,,,
29,12/08/22 17:40:00,28.953,,,,
30,12/08/22 17:50:00,28.853,,,,
31,12/08/22 18:00:00,28.953,,,,
32,12/08/22 18:10:00,28.754,,,,
33,12/08/22 18:20:00,28.754,,,,
34,12/08/22 18:30:00,28.555,,,,
35,12/08/22 18:40:00,28.357,,,,
36,12/08/22 18:50:00,28.060,,,,
37,12/08/22 19:00:00,28.060,,,,
38,12/08/22 19:10:00,27.862,,,,
39,12/08/22 19:20:00,27.665,,,,
40,12/08/22 19:30:00,27.468,,,,
41,12/08/22 19:40:00,27.173,,,,
42,12/08/22 19:50:00,26.977,,,,
43,12/08/22 20:00:00,26.781,,,,
44,12/08/22 20:10:00,26.585,,,,
45,12/08/22 20:20:00,26.292,,,,
46,12/08/22 20:30:00,26.097,,,,
47,12/08/22 20:40:00,25.902,,,,
48,12/08/22 20:50:00,25.610,,,,
49,12/08/22 21:00:00,25.416,,,,
50,12/08/22 21:10:00,25.319,,,,
51,12/08/22 21:20:00,25.125,,,,
52,12/08/22 21:30:00,24.931,,,,
53,12/08/22 21:40:00,24.738,,,,
54,12/08/22 21:50:00,24.545,,,,
55,12/08/22 22:00:00,24.448,,,,
56,12/08/22 22:10:00,24.351,,,,
57,12/08/22 22:20:00,24.255,,,,
58,12/08/22 22:30:00,24.062,,,,
59,12/08/22 22:40:00,23.869,,,,
60,12/08/22 22:50:00,23.581,,,,
61,12/08/22 23:00:00,23.484,,,,
62,12/08/22 23:10:00,23.388,,,,
63,12/08/22 23:20:00,23.196,,,,
64,12/08/22 23:30:00,23.100,,,,
65,12/08/22 23:40:00,22.238,,,,
66,12/08/22 23:50:00,21.664,,,,
67,13/08/22 00:00:00,21.473,,,,
68,13/08/22 00:10:00,21.282,,,,
69,13/08/22 00:20:00,21.091,,,,
70,13/08/22 00:30:00,21.187,,,,
71,13/08/22 00:40:00,20.901,,,,
72,13/08/22 00:50:00,20.615,,,,
73,13/08/22 01:00:00,20.424,,,,
74,13/08/22 01:10:00,21.282,,,,
75,13/08/22 01:20:00,21.664,,,,
76,13/08/22 01:30:00,21.091,,,,
77,13/08/22 01:40:00,20.138,,,,
78,13/08/22 01:50:00,20.329,,,,
79,13/08/22 02:00:00,20.615,,,,
80,13/08/22 02:10:00,20.805,,,,
81,13/08/22 02:20:00,20.901,,,,
82,13/08/22 02:30:00,20.996,,,,
83,13/08/22 02:40:00,19.377,,,,
84,13/08/22 02:50:00,19.092,,,,
85,13/08/22 03:00:00,19.092,,,,
86,13/08/22 03:10:00,19.282,,,,
87,13/08/22 03:20:00,18.901,,,,
88,13/08/22 03:30:00,18.711,,,,
89,13/08/22 03:40:00,18.806,,,,
90,13/08/22 03:50:00,18.711,,,,
91,13/08/22 04:00:00,18.045,,,,
92,13/08/22 04:10:00,17.950,,,,
93,13/08/22 04:20:00,17.950,,,,
94,13/08/22 04:30:00,17.760,,,,
95,13/08/22 04:40:00,17.570,,,,
96,13/08/22 04:50:00,17.760,,,,
97,13/08/22 05:00:00,18.140,,,,
98,13/08/22 05:10:00,18.711,,,,
99,13/08/22 05:20:00,18.806,,,,
100,13/08/22 05:30:00,18.901,,,,
101,13/08/22 05:40:00,18.901,,,,
102,13/08/22 05:50:00,18.806,,,,
103,13/08/22 06:00:00,18.616,,,,
104,13/08/22 06:10:00,18.616,,,,
105,13/08/22 06:20:00,18.426,,,,
106,13/08/22 06:30:00,18.140,,,,
107,13/08/22 06:40:00,17.855,,,,
108,13/08/22 06:50:00,17.855,,,,
109,13/08/22 07:00:00,18.045,,,,
110,13/08/22 07:10:00,18.140,,,,
111,13/08/22 07:20:00,18.140,,,,
112,13/08/22 07:30:00,18.331,,,,
113,13/08/22 07:40:00,18.331,,,,
114,13/08/22 07:50:00,18.426,,,,
115,13/08/22 08:00:00,18.426,,,,
116,13/08/22 08:10:00,18.711,,,,
117,13/08/22 08:20:00,19.092,,,,
118,13/08/22 08:30:00,19.282,,,,
119,13/08/22 08:40:00,19.853,,,,
120,13/08/22 08:50:00,20.138,,,,
121,13/08/22 09:00:00,20.424,,,,
122,13/08/22 09:10:00,20.615,,,,
123,13/08/22 09:20:00,21.091,,,,
124,13/08/22 09:30:00,21.187,,,,
125,13/08/22 09:40:00,21.855,,,,
126,13/08/22 09:50:00,21.664,,,,
127,13/08/22 10:00:00,22.238,,,,
128,13/08/22 10:10:00,22.717,,,,
129,13/08/22 10:20:00,23.004,,,,
130,13/08/22 10:30:00,23.581,,,,
131,13/08/22 10:40:00,24.062,,,,
132,13/08/22 10:50:00,24.351,,,,
133,13/08/22 11:00:00,24.545,,,,
134,13/08/22 11:10:00,24.738,,,,
135,13/08/22 11:20:00,25.028,,,,
136,13/08/22 11:30:00,25.319,,,,
137,13/08/22 11:40:00,25.610,,,,
138,13/08/22 11:50:00,25.708,,,,
139,13/08/22 12:00:00,26.292,,,,
140,13/08/22 12:10:00,26.390,,,,
141,13/08/22 12:20:00,26.879,,,,
142,13/08/22 12:30:00,26.977,,,,
143,13/08/22 12:40:00,27.468,,,,
144,13/08/22 12:50:00,27.567,,,,
145,13/08/22 13:00:00,27.665,,,,
146,13/08/22 13:10:00,27.665,,,,
147,13/08/22 13:20:00,27.961,,,,
148,13/08/22 13:30:00,28.456,,,,
149,13/08/22 13:40:00,28.655,,,,
150,13/08/22 13:50:00,28.853,,,,
151,13/08/22 14:00:00,28.754,,,,
152,13/08/22 14:10:00,28.754,,,,
153,13/08/22 14:20:00,29.053,,,,
154,13/08/22 14:30:00,29.252,,,,
155,13/08/22 14:40:00,29.652,,,,
156,13/08/22 14:50:00,29.752,,,,
157,13/08/22 15:00:00,29.252,,,,
158,13/08/22 15:10:00,29.953,,,,
159,13/08/22 15:20:00,29.953,,,,
160,13/08/22 15:30:00,30.154,,,,
161,13/08/22 15:40:00,30.255,,,,
162,13/08/22 15:50:00,30.457,,,,
163,13/08/22 16:00:00,30.356,,,,
164,13/08/22 16:10:00,30.054,,,,
165,13/08/22 16:20:00,29.953,,,,
166,13/08/22 16:30:00,29.752,,,,
167,13/08/22 16:40:00,29.652,,,,
168,13/08/22 16:50:00,29.552,,,,
169,13/08/22 17:00:00,29.452,,,,
170,13/08/22 17:10:00,29.352,,,,
171,13/08/22 17:20:00,29.152,,,,
172,13/08/22 17:30:00,29.352,,,,
173,13/08/22 17:40:00,29.352,,,,
174,13/08/22 17:50:00,29.452,,,,
175,13/08/22 18:00:00,29.252,,,,
176,13/08/22 18:10:00,29.053,,,,
177,13/08/22 18:20:00,28.754,,,,
178,13/08/22 18:30:00,28.754,,,,
179,13/08/22 18:40:00,28.655,,,,
180,13/08/22 18:50:00,28.456,,,,
181,13/08/22 19:00:00,28.456,,,,
182,13/08/22 19:10:00,28.456,,,,
183,13/08/22 19:20:00,28.258,,,,
184,13/08/22 19:30:00,28.159,,,,
185,13/08/22 19:40:00,27.862,,,,
186,13/08/22 19:50:00,27.665,,,,
187,13/08/22 20:00:00,27.567,,,,
